"Experimental Condition","Seed","Number of Iterations","Expected Arrival Rate (Pairs)","Total Pairs Seen","Total Departed Pairs","Seen (Type 1)","Seen (Type 2)","Seen (Type 3)","Seen (Type 4)","Seen (Type 5)","Seen (Type 6)","Seen (Type 7)","Seen (Type 8)","Matched (Type 1)","Matched (Type 2)","Matched (Type 3)","Matched (Type 4)","Matched (Type 5)","Matched (Type 6)","Matched (Type 7)","Matched (Type 8)","Matched (Rank 1)","Matched (Rank 2)","Matched (Rank 3)","Matched (Rank 4)","Matched (Rank 5)","Matched (Rank 6)","Matched (Rank 7)","Matched (Rank 8)"
"DONOR_PATIENT_WEIGHTS","110","1825","4","6277","911","1012","344","253","99","2998","655","770","146","922","247","207","58","1642","318","392","71","1034","558","646","565","477","291","223","63"
"DONOR_PATIENT_WEIGHTS","111","1825","4","6166","926","981","376","288","90","2913","608","760","150","889","251","222","53","1598","323","395","76","1041","541","631","574","462","288","198","72"
"DONOR_PATIENT_WEIGHTS","112","1825","4","6446","941","1055","399","240","71","3121","632","756","172","954","280","198","47","1739","311","394","78","1130","559","618","570","562","281","211","70"
"DONOR_PATIENT_WEIGHTS","113","1825","4","6287","950","1019","366","239","94","3049","600","764","156","925","279","191","51","1712","290","370","76","1076","566","658","583","483","260","199","69"
"DONOR_PATIENT_WEIGHTS","114","1825","4","6501","916","1071","377","230","116","3074","636","824","173","970","251","197","67","1736","327","417","77","1121","594","648","587","529","281","197","85"
"DONOR_PATIENT_WEIGHTS","115","1825","4","6268","866","990","398","241","82","2961","649","765","182","897","305","200","47","1631","354","426","85","1056","563","619","592","500","311","217","87"
"DONOR_PATIENT_WEIGHTS","116","1825","4","6104","886","978","358","255","98","2923","627","707","158","891","267","210","58","1680","337","382","79","1060","558","602","579","520","298","198","89"
"DONOR_PATIENT_WEIGHTS","117","1825","4","6337","933","1035","361","260","88","3021","676","751","145","906","268","213","53","1664","329","415","64","1063","610","593","581","498","304","191","72"
"DONOR_PATIENT_WEIGHTS","118","1825","4","6636","892","1076","393","301","102","3158","646","790","170","968","291","255","62","1807","318","431","92","1146","678","620","626","560","314","196","84"
"DONOR_PATIENT_WEIGHTS","119","1825","4","6627","944","1084","400","285","107","3127","663","789","172","974","285","238","68","1780","335","422","83","1108","630","686","646","511","298","233","73"
"DONOR_PATIENT_WEIGHTS","120","1825","4","6562","943","1081","417","262","97","3102","663","786","154","967","304","204","60","1705","331","419","77","1121","622","624","570","539","319","195","77"
"DONOR_PATIENT_WEIGHTS","121","1825","4","6701","941","1084","391","282","92","3259","689","757","147","981","298","219","60","1841","356","393","77","1154","635","627","641","574","317","211","66"
"DONOR_PATIENT_WEIGHTS","122","1825","4","6373","972","999","369","241","97","3033","668","820","146","904","263","202","61","1692","326","415","70","1046","573","605","585","527","295","230","72"
"DONOR_PATIENT_WEIGHTS","123","1825","4","6305","922","1023","367","261","93","3055","601","757","148","927","264","220","52","1712","305","396","70","1102","563","630","576","517","296","196","66"
"DONOR_PATIENT_WEIGHTS","124","1825","4","6559","959","1050","393","271","95","3114","632","821","183","933","299","218","60","1717","324","444","83","1070","622","620","630","535","306","223","72"
"DONOR_PATIENT_WEIGHTS","125","1825","4","6260","911","998","426","271","111","2931","591","774","158","906","320","221","65","1634","285","400","76","1049","622","625","548","517","278","206","62"
"DONOR_PATIENT_WEIGHTS","126","1825","4","6298","953","1059","405","227","81","2958","640","758","170","949","293","173","47","1590","336","398","84","1098","526","568","564","547","286","203","78"
"DONOR_PATIENT_WEIGHTS","127","1825","4","6341","963","1026","360","251","91","2985","615","839","174","891","257","190","48","1624","328","437","89","1048","527","608","564","519","294","226","78"
"DONOR_PATIENT_WEIGHTS","128","1825","4","6398","901","1035","375","269","93","3036","627","826","137","952","287","218","56","1714","318","430","77","1096","582","628","632","505","297","241","71"
"DONOR_PATIENT_WEIGHTS","129","1825","4","6652","1009","1068","388","282","106","3165","704","787","152","961","267","233","60","1751","354","412","70","1128","634","640","576","509","333","216","72"
"DONOR_PATIENT_WEIGHTS","130","1825","4","6253","843","1019","363","261","85","3024","602","746","153","910","253","198","52","1707","317","401","72","1063","554","594","620","520","277","216","66"
"DONOR_PATIENT_WEIGHTS","131","1825","4","6467","905","1086","370","253","87","3118","653","755","145","995","257","217","64","1768","337","394","71","1152","565","642","624","506","325","211","78"
"DONOR_PATIENT_WEIGHTS","132","1825","4","6261","915","998","382","273","83","3003","620","746","156","879","271","200","55","1664","306","396","90","1042","562","590","580","498","314","188","87"
"DONOR_PATIENT_WEIGHTS","133","1825","4","6265","930","1060","348","248","80","2954","624","777","174","959","250","192","46","1682","320","375","92","1104","545","603","562","545","285","197","75"
"DONOR_PATIENT_WEIGHTS","134","1825","4","6501","946","1131","400","256","106","3063","607","766","172","1015","289","196","68","1686","283","417","94","1185","573","594","606","519","298","193","80"
"DONOR_PATIENT_WEIGHTS","135","1825","4","6504","933","1048","426","257","88","3117","658","742","168","945","301","206","58","1695","355","392","80","1113","621","626","594","502","292","204","80"
"DONOR_PATIENT_WEIGHTS","136","1825","4","6683","946","1069","428","258","101","3135","698","820","174","983","308","200","55","1791","346","442","89","1165","616","654","643","530","331","195","80"
"DONOR_PATIENT_WEIGHTS","137","1825","4","6320","970","1098","369","247","93","2967","636","742","168","961","264","189","49","1610","320","356","80","1089","560","580","564","459","306","188","83"
"DONOR_PATIENT_WEIGHTS","138","1825","4","6284","885","998","397","274","101","2977","622","763","152","899","278","224","62","1664","308","428","73","1040","606","606","600","497","301","216","70"
"DONOR_PATIENT_WEIGHTS","139","1825","4","6248","981","961","396","257","76","3007","640","754","157","878","287","215","42","1723","332","400","77","1041","565","598","601","526","314","228","81"
"DONOR_PATIENT_WEIGHTS","140","1825","4","6034","927","1008","382","241","78","2829","598","741","157","900","258","197","46","1592","283","384","89","1065","589","518","544","482","283","185","83"
"DONOR_PATIENT_WEIGHTS","141","1825","4","6637","1015","1058","409","265","95","3180","641","840","149","964","303","219","57","1780","326","447","68","1130","619","639","618","542","325","223","68"
"DONOR_PATIENT_WEIGHTS","142","1825","4","6335","948","974","397","273","84","3070","626","749","162","863","287","204","59","1686","313","410","79","1092","538","630","550","511","301","199","80"
"DONOR_PATIENT_WEIGHTS","143","1825","4","6607","933","1093","436","277","76","3104","670","783","168","1017","351","227","51","1740","345","414","80","1164","590","661","625","578","303","227","77"
"DONOR_PATIENT_WEIGHTS","144","1825","4","6172","973","957","341","223","100","2992","649","759","151","857","262","181","66","1635","319","385","79","983","567","591","553","487","315","220","68"
"DONOR_PATIENT_WEIGHTS","145","1825","4","7011","1016","1126","397","294","113","3314","685","907","175","1029","305","241","69","1885","374","486","81","1196","680","696","630","592","343","252","81"
"DONOR_PATIENT_WEIGHTS","146","1825","4","6423","957","1054","397","246","91","3078","656","752","149","959","290","210","60","1712","320","382","75","1125","595","593","601","517","294","217","66"
"DONOR_PATIENT_WEIGHTS","147","1825","4","6418","916","1031","422","239","105","3059","627","767","168","944","300","195","73","1752","326","386","92","1116","596","644","582","551","292","199","88"
"DONOR_PATIENT_WEIGHTS","148","1825","4","6394","938","1069","407","258","89","3047","613","765","146","937","299","215","50","1721","275","405","70","1076","613","649","571","490","288","210","75"
"DONOR_PATIENT_WEIGHTS","149","1825","4","6504","935","1042","399","276","97","3076","647","807","160","936","280","231","59","1695","337","424","88","1095","601","631","596","523","308","217","79"
