"Experimental Condition","Seed","Number of Iterations","Expected Arrival Rate (Pairs)","Total Pairs Seen","Total Departed Pairs","Seen (Type 1)","Seen (Type 2)","Seen (Type 3)","Seen (Type 4)","Seen (Type 5)","Seen (Type 6)","Seen (Type 7)","Seen (Type 8)","Matched (Type 1)","Matched (Type 2)","Matched (Type 3)","Matched (Type 4)","Matched (Type 5)","Matched (Type 6)","Matched (Type 7)","Matched (Type 8)","Matched (Rank 1)","Matched (Rank 2)","Matched (Rank 3)","Matched (Rank 4)","Matched (Rank 5)","Matched (Rank 6)","Matched (Rank 7)","Matched (Rank 8)"
"PATIENT_WEIGHTS","124","1825","4","6559","963","1098","413","265","87","3064","632","812","188","1055","325","241","35","1587","321","381","91","980","440","573","557","682","348","319","137"
"PATIENT_WEIGHTS","125","1825","4","6260","910","1008","357","217","88","3019","618","787","166","960","319","201","38","1578","306","395","79","859","437","523","586","680","370","299","122"
"PATIENT_WEIGHTS","126","1825","4","6298","931","977","378","261","101","3033","650","748","150","938","309","244","51","1599","319","372","72","852","439","563","566","723","356","289","116"
"PATIENT_WEIGHTS","127","1825","4","6341","937","954","397","256","106","2996","697","769","166","906","342","233","57","1616","351","382","75","813","449","560","579","721","388","332","120"
"PATIENT_WEIGHTS","128","1825","4","6398","938","1046","370","245","105","3065","614","787","166","989","302","216","52","1612","295","387","74","913","433","572","532","683","388","299","107"
"PATIENT_WEIGHTS","129","1825","4","6652","1023","1068","397","245","91","3181","683","816","171","1019","318","225","44","1675","307","384","84","954","470","577","579","672","374","312","118"
"PATIENT_WEIGHTS","130","1825","4","6253","829","1040","347","274","86","3012","584","763","147","1013","292","243","45","1639","259","408","74","933","441","571","572","714","346","284","112"
"PATIENT_WEIGHTS","131","1825","4","6467","946","1051","390","242","98","3128","629","748","181","1016","317","214","35","1625","316","366","93","937","435","568","608","654","374","283","123"
"PATIENT_WEIGHTS","132","1825","4","6261","960","1018","364","238","85","3023","613","762","158","970","319","213","46","1540","295","366","67","885","397","525","568","678","366","283","114"
"PATIENT_WEIGHTS","133","1825","4","6265","972","976","367","259","93","3032","619","767","152","930","299","233","45","1581","282","362","73","878","425","526","554","686","346","277","113"
"PATIENT_WEIGHTS","134","1825","4","6501","955","1048","382","262","85","3152","621","786","165","997","315","235","41","1646","306","401","84","915","443","583","572","722","363","301","126"
"PATIENT_WEIGHTS","135","1825","4","6504","976","1030","388","266","112","3106","649","767","186","980","324","236","54","1620","301","382","87","886","460","569","584","733","355","276","121"
"PATIENT_WEIGHTS","136","1825","4","6683","997","1096","385","274","89","3228","627","823","161","1051","314","255","49","1665","309","401","74","966","466","561","616","729","376","285","119"
"PATIENT_WEIGHTS","137","1825","4","6320","958","1026","356","253","94","3034","636","758","163","977","305","224","43","1608","313","354","79","893","433","560","616","644","357","276","124"
"PATIENT_WEIGHTS","138","1825","4","6284","879","993","381","272","107","2998","613","752","168","954","306","246","47","1658","286","393","87","886","452","576","612","697","342","279","133"
"PATIENT_WEIGHTS","139","1825","4","6248","992","1018","373","274","88","2967","603","765","160","976","294","247","47","1577","269","365","71","934","417","542","587","663","340","264","99"
"PATIENT_WEIGHTS","140","1825","4","6034","928","923","348","253","77","2912","609","768","144","881","294","228","45","1547","302","371","67","820","393","515","553","676","357","313","108"
"PATIENT_WEIGHTS","141","1825","4","6637","1037","1064","403","259","107","3195","646","806","157","1011","305","222","51","1702","307","410","67","911","488","581","584","730","367","283","131"
"PATIENT_WEIGHTS","142","1825","4","6335","941","1022","401","254","81","3031","631","758","157","969","326","230","45","1635","317","398","71","873","484","555","603","698","346","331","101"
"PATIENT_WEIGHTS","143","1825","4","6607","941","1079","455","259","86","3153","624","792","159","1033","372","232","37","1675","308","397","82","929","487","580","624","744","360","291","121"
"PATIENT_WEIGHTS","144","1825","4","6172","960","996","360","244","96","2957","625","728","166","947","292","214","55","1555","299","332","91","856","440","511","568","658","340","283","129"
"PATIENT_WEIGHTS","145","1825","4","7011","1044","1121","384","282","91","3399","675","878","181","1084","298","255","52","1819","329","406","92","998","493","596","627","779","384","329","129"
"PATIENT_WEIGHTS","146","1825","4","6423","985","1025","399","263","106","3089","649","725","167","976","320","247","44","1599","328","348","77","886","510","535","542","694","353","317","102"
"PATIENT_WEIGHTS","147","1825","4","6418","955","1097","380","234","81","3075","624","787","140","1021","299","198","35","1604","299","388","67","939","426","535","567","723","357","273","91"
"PATIENT_WEIGHTS","148","1825","4","6394","960","1038","380","281","87","3105","584","761","158","995","294","256","40","1601","273","372","72","890","444","518","639","704","314","270","124"
"PATIENT_WEIGHTS","149","1825","4","6504","879","1034","364","247","104","3131","660","786","178","985","300","229","49","1717","333","413","80","899","458","573","583","772","396","293","132"
